Title ,TRANCHE,CG4:SCORE,CG3:STERIC,CG3:CLASH,CG3:Pro Desolve,CG3:Lig Desolve,CG3: Lig Desolv HB,CG4:HB,PSA,XLogP,N formal charges,HBA,HBD,Lipinski HBD,Max_ring_size,MW,N_ring_systems,N_rot_bonds,Formal Charge,
ZINC000503414791,EHED,-6.205473,-9.272371,0.601354,3.712309,2.099643,-2.38971,-0.956697,50.36,5.05,0,1,2,2,6,348.44,3,6,0,
ZINC000794895872,EHED,-6.195673,-9.274613,0.404567,4.310413,1.499523,-1.95999,-1.175574,62.72,5.16,0,2,2,2,6,349.44,2,8,0,
ZINC000542809466,EHED,-6.114077,-8.194366,0.334303,2.690751,2.255327,-1.671481,-1.528611,66.91,5.04,0,3,2,2,6,348.42,3,5,0,
ZINC000757741124,EHED,-6.088396,-8.342206,0.277059,3.378647,1.406732,-0.842946,-1.965682,72.94,5.18,0,2,3,2,6,344.41,3,4,0,
ZINC000543736276,EHED,-6.06247,-9.521074,0.379033,3.323459,1.691046,-1.025148,-0.909785,66.91,5.04,0,3,2,2,6,348.42,3,5,0,
ZINC000437675728,EHED,-6.050223,-8.823769,0.421296,2.941049,1.295311,-0.811979,-1.072131,61.36,5.08,0,2,3,3,6,348.44,3,5,0,
ZINC000758059192,EHED,-6.023379,-8.243522,0.327309,3.339953,1.816153,-2.141247,-1.122026,92.26,5.13,0,4,2,2,6,347.39,2,9,0,
ZINC000607197080,EHED,-6.007508,-7.920702,0.343163,2.24333,1.980752,-1.299774,-1.354277,61.36,5.01,0,2,3,3,6,348.44,3,5,0,
ZINC000772828393,EHED,-5.994675,-9.43164,0.153065,3.473103,0.924068,-0.911715,-0.201556,56.73,5.07,0,2,2,1,6,346.86,3,3,0,
ZINC000764710016,EHED,-5.954492,-8.445081,0.225134,3.19039,2.266862,-1.577981,-1.613816,62.72,5.11,0,2,2,2,6,331.45,2,7,0,
ZINC000747369212,EHED,-5.910766,-9.330337,0.424121,3.07584,1.893311,-1.274909,-0.698792,58.2,5.07,0,2,2,2,6,346.42,3,5,0,
ZINC000780979908,EHED,-5.895422,-9.244719,0.258549,3.857177,2.192709,-1.232131,-1.727008,70.92,5.03,0,3,2,2,6,346.46,2,11,0,
ZINC000780979910,EHED,-5.888954,-8.674684,0.567796,3.650359,1.690762,-0.956261,-2.166926,70.92,5.03,0,3,2,2,6,346.46,2,11,0,
ZINC000802866271,EHED,-5.834201,-7.917395,0.381047,2.989572,1.798468,-1.140971,-1.944923,72.94,5.18,0,2,3,2,6,342.48,2,11,0,
ZINC000780979673,EHED,-5.733313,-7.612364,0.434225,3.139999,1.645957,-1.518556,-1.822574,70.92,5.03,0,3,2,2,6,346.46,2,11,0,
ZINC000757764812,EHED,-5.727505,-8.213914,0.43267,3.053496,3.76172,-2.645375,-2.116102,92.26,5.29,0,4,2,2,6,343.42,2,9,0,
ZINC000726120541,EHED,-5.715269,-7.721786,0.217042,2.885118,1.668207,-1.140528,-1.623322,54.24,5.32,0,3,2,2,6,349.45,3,7,0,
ZINC000916607644,EHED,-5.659303,-10.248603,0.350972,3.71316,2.83375,-1.619488,-0.689093,60.21,5.28,0,3,2,2,6,342.5,2,7,0,
ZINC000757764817,EHED,-5.647136,-7.449115,0.258882,2.646081,3.075805,-2.271943,-1.906846,92.26,5.29,0,4,2,2,6,343.42,2,9,0,
ZINC000853335113,EHED,-5.565781,-8.387389,0.209612,3.283593,2.316824,-1.547066,-1.441355,62.72,5.26,0,2,2,2,6,345.48,2,9,0,
